,wiki_id,freebase_id,movie_name,release_date,box_office_revenue,runtime,has_summary,thriller,romance_film
73,845738,/m/03gk0n,Frantic,1988-02-26,17637950.0,120.0,1,1,0
74,17767428,/m/047c3q9,Warning Sign,1985-08-23,,99.0,1,1,0
75,697868,/m/033pck,Dead Calm,1989-04-07,,96.0,1,1,0
76,957942,/m/03tb__,Tequila Sunrise,1988-12-02,105932000.0,116.0,1,1,0
77,6081002,/m/0fp46l,St Helens,1981-01-01,,92.0,1,1,0
78,456587,/m/02bqvb,Videodrome,1983-02-04,2120439.0,87.0,1,1,0
79,15796197,/m/03nvm6f,Revenge of the Stepford Wives,1980-10-12,,96.0,1,1,0
80,276070,/m/01pbtz,Blood Simple,1984-09-07,4218701.0,96.0,1,1,0
81,12181074,/m/02vt86f,Slam Dance,1987-05-13,406881.0,99.0,1,1,0
82,71415,/m/0jdgr,Dune,1984-12-14,30925690.0,140.0,1,1,0
83,1398260,/m/04zf44,Roadkill,1989-01-01,,80.0,1,1,0
84,27306875,/m/04j1blj,The Escape Artist,1982-05-28,143369.0,93.0,1,1,0
85,13393790,/m/03c3w7m,The Unseen,1982-01-01,,80.0,1,1,0
86,1056696,/m/0426fc,Cat People,1982-04-02,21000000.0,119.0,1,1,0
87,312757,/m/01tdmp,Tron,1982-07-09,74000000.0,91.0,1,1,0
88,534408,/m/02mjrk,Kill and Kill Again,1981-05-01,,100.0,1,1,0
89,673694,/m/031tc2,Young Guns,1988-08-10,45661556.0,103.0,1,1,0
90,3365741,/m/097wm8,A Better Tomorrow 2,1987-01-01,,105.0,1,1,0
91,12230524,/m/02vws30,Cold Steel,1987-01-01,,91.0,1,1,0
92,2680994,/m/07xkmm,"Silent Night, Deadly Night Part 2",1987-04-10,154323.0,88.0,1,1,0
93,2255173,/m/06zlz0,Ms. 45,1981-01-01,,80.0,1,1,0
94,600235,/m/02v5r5,Manhunter,1986-08-15,8620929.0,124.0,1,1,0
95,1059701,/m/042g97,Superman III,1983-06-16,,125.0,1,1,0
96,12333653,/m/02v_n0y,An Eye for an Eye,1981-01-01,7496681.0,106.0,1,1,0
97,1232088,/m/04kld8,Project X,1987-04-17,21589395.0,108.0,1,1,0
98,18935792,/m/04jb_n0,Relentless,1989-08-30,6985999.0,93.0,1,1,0
99,12636214,/m/02wz1ch,Eyewitness,1981-02-13,,102.0,1,1,0
100,346196,/m/01yr53,The Element of Crime,1984-05-14,,104.0,1,1,0
101,3477126,/m/09fl7z,Leviathan,1989-03-17,15704614.0,98.0,1,1,0
102,16928777,/m/0466pq8,Agnes of God,1985-08-21,25627836.0,98.0,1,1,0
103,4380331,/m/0b_515,Shoot to Kill,1988-02-12,29300090.0,110.0,1,1,0
104,4498688,/m/0c5nf0,The Aftermath,1982-01-01,,95.0,1,1,0
105,885876,/m/03lrx2,Streets of Fire,1984-06-01,,93.0,1,1,0
106,13902330,/m/03cmr5m,The Ambassador,1984-01-01,,97.0,1,1,0
107,1290721,/m/04qgzk,Dreamscape,1984-08-15,12145169.0,99.0,1,1,0
108,4639948,/m/0cd_cp,The House on Sorority Row,1983-01-01,10604986.0,92.0,1,1,0
109,828218,/m/03ffcz,The Singing Detective,1986-01-01,,,1,1,0
110,2275930,/m/04csl0k,TerrorVision,1986-02-14,,83.0,1,1,0
111,30327,/m/07ghq,The Terminator,1984-10-26,78371200.0,107.0,1,1,0
112,168554,/m/016kn6,Runaway Train,1985-11-15,8000000.0,112.0,1,1,0
113,7668793,/m/0kvds4,The Running Man,1987-11-13,38122105.0,101.0,1,1,0
114,5457037,/m/0dmr6t,Betrayed,1988-08-26,25816139.0,127.0,1,1,0
115,3293089,/m/093tgd,Bulletproof,1988-01-01,807947.0,93.0,1,1,0
116,30984089,/m/0cnqxph,Nowhere to Hide,1987-07-17,,90.0,1,1,0
117,3394318,/m/0998jd,Death Before Dishonor,1987-01-01,4546244.0,95.0,1,1,0
118,5542682,/m/0drqjb,Possession,1981-05-27,1113538.0,123.0,1,1,0
119,5018573,/m/0c_194,Pet Sematary,1989-04-21,57469179.0,100.0,1,1,0
120,4082935,/m/0bh4mr,Jack's Back,1988-05-06,492519.0,97.0,1,1,0
121,8235561,/m/026x6wh,Taffin,1988-02-26,,96.0,1,1,0
122,6066495,/m/0fnc1j,Black Eagle,1988-05-19,,93.0,1,1,0
123,28271211,/m/0cp1d65,Last Plane Out,1983-09-23,115475.0,92.0,1,1,0
124,1466210,/m/053rvr,The Fiendish Plot of Dr. Fu Manchu,1980-08-08,10697276.0,101.0,1,1,0
125,770128,/m/03b1jx,Music Box,1989-12-22,6263883.0,123.0,1,1,0
126,12525687,/m/02wbfzj,Dead End Drive-In,1986-01-01,68000.0,92.0,1,1,0
127,3978441,/m/0b9rdk,Flash Gordon,1980-09-01,27107960.0,111.0,1,1,0
128,26396356,/m/04j11pt,The Killing Time,1987-10-23,500283.0,92.0,1,1,0
129,23823721,/m/06_wl_9,Strange Voices,1987-10-19,,100.0,1,1,0
130,1330774,/m/04tb0h,Thief,1981-03-27,11492915.0,122.0,1,1,0
131,10727249,/m/02qnf4d,Wild Thing,1987-04-17,,92.0,1,1,0
132,6967547,/m/0gz6b0,Tarzan in Manhattan,1989-01-01,,89.0,1,1,0
133,1160412,/m/04cbbz,Rambo III,1988-01-01,189015611.0,102.0,1,1,0
134,1508868,/m/056tnb,The Serpent and the Rainbow,1988-02-05,19595031.0,98.0,1,1,0
135,1428872,/m/050t18,The Long Good Friday,1980-11-01,,105.0,1,1,0
136,872441,/m/03kfz0,First Blood,1982-10-22,125212904.0,93.0,1,1,0
137,73451,/m/0jqqg,El Norte,1983-10-11,,141.0,1,1,0
138,9865713,/m/02pv8qc,The First Deadly Sin,1980-10-03,,112.0,1,1,0
139,24367337,/m/07sbb2c,Bedroom Eyes,1984-11-30,,90.0,1,1,0
140,354061,/m/01zn6d,Red Heat,1988-06-17,34994648.0,103.0,1,1,0
141,4011202,/m/0bccsx,Tenebrae,1982-01-01,,110.0,1,1,0
142,3761238,/m/09zkzj,The Bedroom Window,1987-01-16,12640385.0,109.0,1,1,0
143,24542123,/m/080cy_y,Banzai Runner,1987-01-01,,88.0,1,1,0
144,2139989,/m/06pqwk,The Junkman,1982-10-28,,98.0,1,1,0
145,3529964,/m/09jqv1,Black Rain,1989-09-22,134212055.0,125.0,1,1,0
146,3607032,/m/09pkvb,Hammett,1982-09-17,,98.0,1,1,0
147,25812350,/m/09v6qh6,An Officer and a Car Salesman,1988-12-26,,,1,1,0
148,97646,/m/0p3_y,Die Hard,1988-07-15,140767956.0,132.0,1,1,0
149,34130,/m/08720,WarGames,1983-06-03,79567667.0,114.0,1,1,0
150,4944673,/m/0cwfgz,Lock Up,1989-08-04,22099847.0,100.0,1,1,0
151,1195560,/m/04gcyg,2010: The Year We Make Contact,1984-12-07,40400657.0,116.0,1,1,0
152,11028867,/m/02qylkx,The Mutilator,1985-01-01,,86.0,1,1,0
153,22439052,/m/05zrzs1,Shadow Dancing,1988-12-02,,100.0,1,1,0
154,28362983,/m/04j36kx,Vigilante,1983-01-01,5091888.0,90.0,1,1,0
155,24789475,/m/0djbbmj,Steele Justice,1987-01-01,1327740.0,95.0,1,1,0
156,2276238,/m/0705k1,Nightmares,1983-09-09,6670680.0,99.0,1,1,0
157,4601985,/m/0cc0qc,When Time Ran Out,1980-03-28,,109.0,1,1,0
158,3544709,/m/09kml0,Firstborn,1984-10-26,6200000.0,103.0,1,1,0
159,11011055,/m/02qy0f5,Flowers in the Attic,1987-11-20,15151736.0,93.0,1,1,0
160,34627142,/m/0j28dc0,Light Blast,1985-08-13,,86.0,1,1,0
161,6003924,/m/0fk55z,Black Moon Rising,1986-01-01,6500000.0,96.0,1,1,0
162,9461535,/m/0289s_h,The Hit,1984-06-01,876775.0,98.0,1,1,0
163,10333936,/m/02q8sp1,'Gator Bait II: Cajun Justice,1988-01-01,,95.0,1,1,0
164,14570681,/m/03d87bn,Far From Home,1989-01-01,11859.0,86.0,1,1,0
165,7505990,/m/0kv9bz,Nomads,1986-01-01,2278264.0,91.0,1,1,0
166,576198,/m/02rqd_,Adventures in Babysitting,1987-06-19,34368475.0,99.0,1,1,0
167,3229348,/m/08_wst,Deliria,1987-02-08,,90.0,1,1,0
168,26177719,/m/0b753df,Ordeal by Innocence,1985-05-17,,90.0,1,1,0
169,613037,/m/02wk_5,After Hours,1985-09-13,,97.0,1,1,0
170,12517482,/m/02wb0s0,Breeders,1986-01-01,,77.0,1,1,0
171,11612605,/m/02rlkm5,Still of the Night,1982-11-19,5979947.0,93.0,1,1,0
172,3461278,/m/09dq8d,City Heat,1984-12-07,38300000.0,97.0,1,1,0
173,24160684,/m/07k9wjn,Tag: The Assassination Game,1982-04-20,,90.0,1,1,0
174,3009486,/m/08k9gf,Tank,1984-01-01,11302884.0,113.0,1,1,0
175,13297418,/m/03c0_jb,Hider in the House,1989-01-01,,104.0,1,1,0
176,4083099,/m/0bh4wr,Alone in the Dark,1982-11-12,,92.0,1,1,0
177,18514527,/m/04f52h3,Bloody Wednesday,1985-01-01,,96.0,1,1,0
178,24517581,/m/080lm_j,The Naked Face,1984-06-13,,103.0,1,1,0
179,11506772,/m/02rg6cx,"Murder Me, Murder You",1983-04-09,,96.0,1,1,0
180,4969123,/m/0cxpmy,The Mean Season,1985-02-15,4300000.0,109.0,1,1,0
181,5526366,/m/0dqytn,The Witches of Eastwick,1987-06-12,63766510.0,118.0,1,1,0
182,15738569,/m/03nrszk,A Breed Apart,1984-06-01,,95.0,1,1,0
183,2439288,/m/07d359,Farewell to the King,1989-03-03,2420917.0,114.0,1,1,0
184,1317987,/m/04sgl8,Blow Out,1981-07-24,12000000.0,107.0,1,1,0
185,12746552,/m/02x31hy,Avenging Angel,1985-01-01,,93.0,1,1,0
186,2168783,/m/06rzwx,The Delta Force,1986-02-14,17760000.0,128.0,1,1,0
187,2314982,/m/0735vr,Looker,1981-10-30,,93.0,1,1,0
188,12431569,/m/02w5h60,Backfire,1987-01-01,,90.0,1,1,0
189,8060080,/m/026q20r,Malone,1987-01-01,3060858.0,92.0,1,1,0
190,33518689,/m/0b_wdyl,Deadly Messages,1985-02-21,,100.0,1,1,0
191,2056500,/m/06j0g0,Running Scared,1986-06-27,38500726.0,107.0,1,1,0
192,13378321,/m/03c3dfk,Reform School Girls,1986-08-22,,94.0,1,1,0
193,24354731,/m/07s5y9_,Freeway,1988-09-02,142671.0,91.0,1,1,0
194,35826458,/m/04j033s,Penitentiary 2,1982-04-02,3178542.0,108.0,1,1,0
195,10821674,/m/02qr3k8,Terror in the Aisles,1984-10-26,10004817.0,84.0,1,1,0
196,583012,/m/02scbv,Rambo: First Blood Part II,1985-05-22,,96.0,1,1,0
197,4327278,/m/0bxb3h,Dead of Winter,1987-01-01,2413427.0,100.0,1,1,0
198,6100131,/m/0fq37s,Crackers,1984-02-17,,91.0,1,1,0
199,905188,/m/03nlr5,The Hitcher,1986-02-21,7900000.0,98.0,1,1,0
200,1553297,/m/059w3q,Invasion U.S.A.,1985-01-01,17500000.0,107.0,1,1,0
201,22142761,/m/05p5512,Physical Evidence,1989-01-27,3560932.0,99.0,1,1,0
202,4386957,/m/0b_h_r,Revenge of the Ninja,1983-09-07,13168027.0,90.0,1,1,0
203,2020750,/m/06fnfr,Into the Night,1985-02-15,,115.0,1,1,0
204,7090669,/m/0h3p96,Kansas,1988-09-23,,110.0,1,1,0
205,12287154,/m/02vz0mz,Calendar Girl Murders,1984-01-01,,92.0,1,1,0
206,21256010,/m/05c22fj,Hit List,1989-03-03,,87.0,1,1,0
207,24777060,/m/0bbbpdn,Number One with a Bullet,1987-01-01,,103.0,1,1,0
208,9266932,/m/028293v,Def-Con 4,1985-03-15,,88.0,1,1,0
209,15084791,/m/03hgylx,Dogs of Hell,1982-01-01,,89.0,1,1,0
210,11998913,/m/02vlfnl,Curtains,1983-01-01,,89.0,1,1,0
211,9626476,/m/02pm8zp,Next of Kin,1989-10-20,15942628.0,109.0,1,1,0
212,35420580,/m/0j9nbtz,Thunder Run,1986-05-30,,84.0,1,1,0
213,2592990,/m/07qc08,Rollover,1981-12-11,10851261.0,115.0,1,1,0
214,3044228,/m/08mszt,Masters of the Universe,1987-08-07,17336370.0,106.0,1,1,0
215,4179770,/m/0bnglv,The Mighty Quinn,1989-02-16,4557214.0,94.0,1,1,0
216,2478900,/m/07gvrj,House of Games,1987-10-11,2585639.0,102.0,1,1,0
217,2484540,/m/07h4yp,Fletch,1985-05-31,,98.0,1,1,0
218,23081315,/m/064q884,Smart Money,1986-10-26,,,1,1,0
219,6469852,/m/0g6jkx,Cheerleader Camp,1987-01-01,,88.0,1,1,0
220,7128210,/m/0h5mnt,Fatal Beauty,1987-10-30,12046526.0,104.0,1,1,0
221,19042649,/m/04jkspz,The Little Drummer Girl,1983-10-19,7828841.0,132.0,1,1,0
222,67371,/m/0hqdd,Clue,1985-12-13,14643997.0,97.0,1,1,0
223,1324852,/m/04swkp,Cloak & Dagger,1984-08-10,9719000.0,101.0,1,1,0
224,826482,/m/03f7xg,Dead Ringers,1988-09-23,8038508.0,116.0,1,1,0
225,5979095,/m/0fhvby,Tattoo,1981-10-09,,91.0,1,1,0
226,6714601,/m/0gjx74,Deadly Intentions,1985-01-01,,200.0,1,1,0
227,985304,/m/03wrqt,Deadly Blessing,1981-08-14,8279042.0,103.0,1,1,0
228,1830472,/m/05_cv6,White Water Summer,1987-06-12,,90.0,1,1,0
229,45568,/m/0ccsq,The Abyss,1989-08-09,90000098.0,145.0,1,1,0
230,8597587,/m/0279d25,The Drifter,1988-06-03,,89.0,1,1,0
231,6255681,/m/0fz4d0,Anna to the Infinite Power,1983-01-01,,102.0,1,1,0
232,2397550,/m/0797d9,Windows,1980-01-18,,96.0,1,1,0
233,4038581,/m/0bdxf1,No Mercy,1986-12-19,12303904.0,108.0,1,1,0
234,11564856,/m/02rjb3_,Jake Speed,1986-01-01,1943751.0,104.0,1,1,0
235,3215125,/m/08zvx7,Hobgoblins,1988-07-14,,92.0,1,1,0
236,14695721,/m/03gtcz4,Deadly Intruder,1985-01-01,,86.0,1,1,0
237,20973286,/m/05b1zhc,Eddie Macon's Run,1983-03-23,,95.0,1,1,0
238,19944417,/m/04y6d_t,The Soldier,1982-06-01,,96.0,1,1,0
239,9316781,/m/02849r2,The Jigsaw Man,1983-01-01,,87.0,1,1,0
240,21646685,/m/05mwfj4,Twisted,1986-01-01,,87.0,1,1,0
241,694482,/m/033dk0,Firefox,1982-06-18,70687344.0,136.0,1,1,0
242,5801352,/m/0f5kjm,Exterminator 2,1984-09-14,3739406.0,89.0,1,1,0
243,3783131,/m/09_rv9,A Better Tomorrow 3,1989-01-01,,145.0,1,1,0
244,6790169,/m/0gp1s4,The Boys Next Door,1985-10-01,,90.0,1,1,0
245,2097287,/m/06lyg6,Psycho II,1983-06-03,34725000.0,113.0,1,1,0
246,4108752,/m/0bjkz7,A Stranger Is Watching,1982-01-22,,92.0,1,1,0
247,1059728,/m/042gcq,Deathtrap,1982-03-19,,115.0,1,1,0
248,12432189,/m/02w5j4m,Assassination,1987-01-01,6075793.0,88.0,1,1,0
249,3082021,/m/08q47_,The Presidio,1988-06-10,20036242.0,97.0,1,1,0
250,242548,/m/01k60v,Silkwood,1983-12-14,,131.0,1,1,0
251,24739881,/m/080fk0k,Ruckus,1981-03-01,,93.0,1,1,0
252,7352183,/m/0kv5mr,Cal,1984-08-24,,102.0,1,1,0
253,7051491,/m/0h21v2,Poltergeist,1982-06-04,121706019.0,114.0,1,1,0
254,2886766,/m/0896ql,Kickboxer,1989-04-20,,105.0,1,1,0
255,4186631,/m/0bnx0h,The Man with One Red Shoe,1985-07-19,8645411.0,84.0,1,1,0
256,6006929,/m/0fk9kz,Cop,1988-02-05,,111.0,1,1,0
257,164395,/m/015wq4,The Stunt Man,1980-06-27,7068886.0,129.0,1,1,0
258,449547,/m/029v40,Licence to Kill,1989-06-13,156200000.0,133.0,1,1,0
259,2419947,/m/07bt5m,Sword of Gideon,1986-11-29,,148.0,1,1,0
260,23805173,/m/06_v8dw,I Saw What You Did,1988-01-01,,93.0,1,1,0
261,766348,/m/039pz_,Dead Bang,1989-03-24,8125592.0,103.0,1,1,0
262,9591329,/m/02pl3jt,Dead & Buried,1981-05-29,,94.0,1,1,0
263,2709646,/m/07zdl2,Android,1982-10-01,,80.0,1,1,0
264,12234659,/m/02vwycw,Zombie Island Massacre,1984-11-01,,84.0,1,1,0
265,5895363,/m/0fcbqs,Little Nikita,1988-01-01,,97.0,1,1,0
266,2069002,/m/06jy_j,Action Jackson,1988-02-12,20256975.0,95.0,1,1,0
267,5082550,/m/0d1xp3,Bellman and True,1987-01-01,,112.0,1,1,0
268,153372,/m/01404w,Iron Eagle,1986-01-17,24159872.0,117.0,1,1,0
269,901489,/m/03n7gj,Road House,1989-05-19,30050028.0,114.0,1,1,0
270,27612051,/m/0c3thcj,Perfect Strangers,1984-11-01,,92.0,1,1,0
271,28216994,/m/0cp1dy6,Hotline,1982-10-16,,96.0,1,1,0
272,2075256,/m/06kg0c,Cruising,1980-02-08,,102.0,1,1,0
273,9001422,/m/027szjh,Shakedown,1988-01-01,10068039.0,97.0,1,1,0
274,3746,/m/017n9,Blade Runner,1982-06-25,33139618.0,116.0,1,1,0
275,11788249,/m/02rscbs,Deadbeat at Dawn,1988-01-01,,80.0,1,1,0
276,6089198,/m/0fplzy,Thou Shalt Not Kill... Except,1985-01-01,,84.0,1,1,0
277,490101,/m/02gqm3,Never Say Never Again,1983-01-01,160000000.0,133.0,1,1,0
278,2210017,/m/06w44l,Something Wicked This Way Comes,1983-01-01,8400000.0,94.0,1,1,0
279,2140002,/m/06pqx7,Amityville II: The Possession,1982-09-24,11328000.0,104.0,1,1,0
280,1924012,/m/066gbn,Who Dares Wins,1982-01-01,,125.0,1,1,0
281,3799386,/m/0b0mf1,Off Limits,1988-03-11,,102.0,1,1,0
282,826441,/m/02p32wl,Death Wish II,1982-02-20,16100000.0,89.0,1,1,0
283,1367502,/m/04x4pl,A Dry White Season,1989-09-22,,107.0,1,1,0
284,4187903,/m/0bnz5h,The Watcher in the Woods,1980-04-17,,83.0,1,1,0
285,27396469,/m/0b__gkb,Race for the Yankee Zephyr,1981-12-18,,97.0,1,1,0
286,2918585,/m/08cjy8,Uncommon Valor,1983-12-16,,105.0,1,1,0
287,6575394,/m/0gc7vx,Lords of the Deep,1989-04-21,,95.0,1,1,0
288,14979283,/m/03h3kjc,10 to Midnight,1983-01-01,7175592.0,103.0,1,1,0
289,9013078,/m/027tdqb,A Time of Destiny,1988-04-22,,118.0,1,1,0
290,27098,/m/06r2_,Star Trek II: The Wrath of Khan,1982-06-04,97000000.0,112.0,1,1,0
291,14521896,/m/03d67k3,The Awakening,1980-10-01,8415112.0,105.0,1,1,0
292,3123751,/m/08sz31,Tightrope,1984-08-17,48143579.0,115.0,1,1,0
293,3191060,/m/08y5wd,Q,1982-01-01,,93.0,1,1,0
294,4086317,/m/0bh9yc,Razorback,1984-11-02,,107.0,1,1,0
295,8481,/m/02c6d,Dressed to Kill,1980-06-23,31899000.0,105.0,1,1,0
296,963052,/m/03tt1c,To Live and Die in L.A.,1985-11-01,17300000.0,116.0,1,1,0
297,1122030,/m/047ytl,Midnight Run,1988-07-11,81600000.0,126.0,1,1,0
298,172534,/m/01771z,Cobra,1986-05-23,160000000.0,87.0,1,1,0
299,4052442,/m/0bfplj,Sunset,1988-04-29,4594452.0,102.0,1,1,0
300,34406218,/m/0dz1fd,The Fruit Machine,1988-01-01,,103.0,1,1,0
301,213472,/m/01f8hf,Aliens,1986-07-18,131060248.0,137.0,1,1,0
302,407628,/m/024mxd,Superman IV: The Quest For Peace,1987-07-24,15681020.0,90.0,1,1,0
303,67411,/m/0hqnw,Above the Law,1988-04-08,18869631.0,99.0,1,1,0
304,11962404,/m/02rztkc,The Tomb,1986-01-01,,84.0,1,1,0
305,15871827,/m/03nxpg9,Blue City,1986-05-02,6947787.0,83.0,1,1,0
306,12466332,/m/02w7c9c,A Prayer for the Dying,1987-01-01,,108.0,1,1,0
307,673682,/m/031t9l,Angel Heart,1987-03-06,17185632.0,113.0,1,1,0
308,16305665,/m/03wghzn,Anastasia: The Mystery of Anna,1986-12-07,,200.0,1,1,0
309,10459622,/m/02qdt7z,The Squeeze,1987-01-01,2228951.0,101.0,1,1,0
310,6942006,/m/0gy3fy,Iron Eagle II,1988-11-11,,105.0,1,1,0
311,25248084,/m/09gklmd,The New Kids,1985-01-18,,89.0,1,1,0
